customer_id,recency,frequency,monetary,R_score,F_score,M_score,segment
12503,583,1,896.0,1,1,3,Lost
12504,17,4,689.05,5,3,3,Loyal Customers
12505,408,1,787.2,2,1,3,Lost
12506,232,1,73.5,2,1,1,Lost
12507,133,4,1508.06,3,3,4,Big Spenders
12508,25,2,397.88,4,2,2,Potential Loyalists
12509,283,1,158.5,2,1,1,Lost
12510,142,7,3039.03,3,4,5,Big Spenders
12511,428,1,3084.02,1,1,5,Big Spenders
12512,65,2,132.18,3,2,1,Potential Loyalists
12513,112,1,558.29,3,1,2,Potential Loyalists
12514,266,2,1597.76,2,2,4,At Risk
12515,352,1,278.7,2,1,1,Lost
12516,77,4,2288.62,3,3,4,Big Spenders
12517,27,4,2301.6,4,3,4,Big Spenders
12518,0,5,1840.89,5,4,4,Champions
12519,63,2,626.54,3,2,3,Potential Loyalists
12520,78,5,2346.26,3,4,4,Big Spenders
12521,142,1,545.68,3,1,2,Potential Loyalists
12522,38,2,156.72,4,2,1,Potential Loyalists
12523,18,23,4010.35,5,5,5,Champions
12524,8,17,9794.11,5,5,5,Champions
12525,497,3,883.73,1,3,3,At Risk
12526,0,3,1172.66,5,3,3,Loyal Customers
12527,81,5,717.51,3,4,3,Loyal Customers
12528,8,6,1645.48,5,4,4,Champions
12529,527,1,316.48,1,1,2,Lost
12530,59,9,3381.26,3,5,5,Big Spenders
12531,14,2,1771.2,5,2,4,Big Spenders
12532,29,1,313.83,4,1,2,Potential Loyalists
12533,627,2,1223.89,1,2,4,At Risk
12534,130,1,981.18,3,1,3,Potential Loyalists
12535,91,2,716.35,3,2,3,Potential Loyalists
12536,58,1,4279.71,4,1,5,Big Spenders
12537,408,1,612.94,2,1,3,Lost
12538,28,2,640.45,4,2,3,Potential Loyalists
12539,21,7,11186.75,4,4,5,Champions
12540,19,32,19250.49,4,5,5,Champions
12541,29,3,841.18,4,3,3,Loyal Customers
12542,483,2,481.88,1,2,2,At Risk
12543,447,1,840.25,1,1,3,Lost
12544,35,1,316.7,4,1,2,Potential Loyalists
12545,74,2,832.39,3,2,3,Potential Loyalists
12546,46,2,1021.5,4,2,3,Potential Loyalists
12547,197,3,299.58,2,3,2,At Risk
12548,165,1,67.2,3,1,1,Potential Loyalists
12549,575,5,1570.68,1,4,4,At Risk
12550,78,1,824.83,3,1,3,Potential Loyalists
12551,357,1,168.0,2,1,1,Lost
12552,39,1,317.82,4,1,2,Potential Loyalists
12553,7,12,4104.75,5,5,5,Champions
12554,448,1,384.5,1,1,2,Lost
12555,681,1,129.23,1,1,1,Lost
12556,49,2,599.56,4,2,2,Potential Loyalists
12557,15,8,18096.14,5,4,5,Champions
12558,7,1,269.96,5,1,1,Potential Loyalists
12559,310,2,525.71,2,2,2,At Risk
12560,4,2,1918.01,5,2,4,Big Spenders
12561,302,1,238.85,2,1,1,Lost
12562,7,9,4426.92,5,5,5,Champions
12563,408,1,221.24,2,1,1,Lost
12564,260,1,402.9,2,1,2,Lost
12565,288,1,145.92,2,1,1,Lost
12566,85,1,297.65,3,1,2,Potential Loyalists
12567,22,15,10741.48,4,5,5,Champions
12568,644,1,52.0,1,1,1,Lost
12569,1,32,3152.69,5,5,5,Champions
12570,681,1,77.52,1,1,1,Lost
12571,39,2,519.61,4,2,2,Potential Loyalists
12572,8,2,912.42,5,2,3,Potential Loyalists
12573,226,5,717.41,2,4,3,At Risk
12574,315,1,182.45,2,1,1,Lost
12575,456,2,568.82,1,2,2,At Risk
12576,35,8,2062.72,4,4,4,Champions
12577,34,8,1613.15,4,4,4,Champions
12578,20,4,4026.45,4,3,5,Big Spenders
12579,77,1,386.42,3,1,2,Potential Loyalists
12580,246,2,962.9,2,2,3,At Risk
12581,39,1,179.71,4,1,1,Potential Loyalists
12582,238,4,1820.4,2,3,4,At Risk
12583,2,27,12493.58,5,5,5,Champions
12584,3,9,2254.15,5,5,4,Champions
12585,233,2,1824.1,2,2,4,At Risk
12586,16,4,2062.67,5,3,4,Big Spenders
12587,7,1,104.0,5,1,1,Potential Loyalists
12588,38,3,718.78,4,3,3,Loyal Customers
12589,28,6,3294.91,4,4,5,Champions
12590,210,1,9341.26,2,1,5,Big Spenders
12591,316,3,1114.95,2,3,3,At Risk
12592,91,4,1723.64,3,3,4,Big Spenders
12593,108,3,382.1,3,3,2,Loyal Customers
12594,37,14,4890.11,4,5,5,Champions
12595,504,1,281.02,1,1,1,Lost
12596,50,2,450.27,4,2,2,Potential Loyalists
12597,18,4,3195.22,5,3,5,Big Spenders
12598,9,10,4192.09,5,5,5,Champions
12599,28,13,2026.72,4,5,4,Champions
12600,28,21,4390.42,4,5,5,Champions
12601,189,6,573.26,2,4,2,At Risk
12602,58,1,153.12,4,1,1,Potential Loyalists
12603,21,1,613.2,4,1,3,Potential Loyalists
12604,78,2,236.18,3,2,1,Potential Loyalists
12605,375,3,1124.95,2,3,3,At Risk
12606,681,1,21.0,1,1,1,Lost
12607,59,1,1579.51,3,1,4,Big Spenders
12608,404,1,415.79,2,1,2,Lost
12609,77,9,3021.86,3,5,5,Big Spenders
12610,22,4,1747.54,4,3,4,Big Spenders
12611,51,1,1193.32,4,1,3,Potential Loyalists
12612,73,1,668.04,3,1,3,Potential Loyalists
12613,56,9,6277.37,4,5,5,Champions
12614,277,1,315.6,2,1,2,Lost
12615,1,8,5362.98,5,4,5,Champions
12616,94,3,1023.1,3,3,3,Loyal Customers
12617,28,1,352.98,4,1,2,Potential Loyalists
12618,21,1,137.31,4,1,1,Potential Loyalists
12619,15,9,3085.7,5,5,5,Champions
12620,14,3,1303.41,5,3,4,Big Spenders
12621,1,35,22097.2,5,5,5,Champions
12622,231,1,162.1,2,1,1,Lost
12623,275,7,3315.84,2,4,5,At Risk
12624,105,2,569.13,3,2,2,Potential Loyalists
12625,211,4,4678.88,2,3,5,At Risk
12626,22,9,5954.48,4,5,5,Champions
12627,10,6,4082.53,5,4,5,Champions
12628,3,3,732.46,5,3,3,Loyal Customers
12629,385,2,1198.22,2,2,3,At Risk
12630,9,2,1030.88,5,2,3,Potential Loyalists
12631,56,6,3321.57,4,4,5,Champions
12632,520,2,714.88,1,2,3,At Risk
12633,58,7,5156.16,4,4,5,Champions
12634,547,1,360.0,1,1,2,Lost
12635,89,4,2624.41,3,3,4,Big Spenders
12637,66,12,8085.81,3,5,5,Big Spenders
12638,32,2,681.49,4,2,3,Potential Loyalists
12639,238,3,1072.37,2,3,3,At Risk
12640,23,3,994.58,4,3,3,Loyal Customers
12641,114,1,145.9,3,1,1,Potential Loyalists
12642,24,3,905.26,4,3,3,Loyal Customers
12643,127,11,7803.82,3,5,5,Big Spenders
12644,129,4,1900.49,3,3,4,Big Spenders
12645,33,8,3215.3,4,4,5,Champions
12646,4,2,1346.97,5,2,4,Big Spenders
12647,21,35,14109.55,4,5,5,Champions
12648,154,4,1039.0,3,3,3,Loyal Customers
12649,106,8,2096.65,3,4,4,Big Spenders
12650,2,1,242.44,5,1,1,Potential Loyalists
12651,334,4,377.75,2,3,2,At Risk
12652,330,2,891.03,2,2,3,At Risk
12653,148,3,4160.83,3,3,5,Big Spenders
12654,10,5,529.98,5,4,2,Champions
12655,423,1,243.35,1,1,1,Lost
12656,16,8,5723.83,5,4,5,Champions
12657,10,4,1427.18,5,3,4,Big Spenders
12658,18,1,632.05,5,1,3,Potential Loyalists
12659,29,1,73.68,4,1,1,Potential Loyalists
12660,10,1,227.1,5,1,1,Potential Loyalists
12661,435,1,162.0,1,1,1,Lost
12662,0,20,6130.54,5,5,5,Champions
12663,624,2,185.4,1,2,1,At Risk
12664,7,11,5420.04,5,5,5,Champions
12665,324,3,259.6,2,3,1,At Risk
12666,393,1,1248.42,2,1,4,Big Spenders
12667,57,1,460.13,4,1,2,Potential Loyalists
12668,11,9,9906.03,5,5,5,Champions
12669,150,2,1427.73,3,2,4,Big Spenders
12670,9,7,3436.29,5,4,5,Champions
12671,605,1,2622.48,1,1,4,Big Spenders
12672,329,2,407.05,2,2,2,At Risk
12673,4,3,1140.02,5,3,3,Loyal Customers
12674,38,4,1844.6,4,3,4,Big Spenders
12675,553,2,873.25,1,2,3,At Risk
12676,24,10,2333.09,4,5,4,Champions
12677,554,2,359.1,1,2,2,At Risk
12678,41,15,32595.18,4,5,5,Champions
12679,58,4,951.02,4,3,3,Loyal Customers
12680,0,4,790.81,5,3,3,Loyal Customers
12681,14,44,26936.76,5,5,5,Champions
12682,3,51,20736.22,5,5,5,Champions
12683,3,20,10445.7,5,5,5,Champions
12684,7,6,2073.63,5,4,4,Champions
12685,27,6,2575.08,4,4,4,Champions
12686,371,1,71.14,2,1,1,Lost
12687,480,1,1858.91,1,1,4,Big Spenders
12688,113,1,4873.81,3,1,5,Big Spenders
12689,25,2,1139.61,4,2,3,Potential Loyalists
12690,205,1,335.01,2,1,2,Lost
12691,27,6,1044.4,4,4,3,Champions
12692,636,1,110.95,1,1,1,Lost
12693,126,7,1415.02,3,4,4,Big Spenders
12694,69,3,1663.35,3,3,4,Big Spenders
12695,6,7,1371.12,5,4,4,Champions
12696,434,2,731.91,1,2,3,At Risk
12697,28,3,757.59,4,3,3,Loyal Customers
12698,589,1,285.75,1,1,2,Lost
12699,417,1,566.11,1,1,2,Lost
12700,7,4,4525.99,5,3,5,Big Spenders
12701,79,6,2248.41,3,4,4,Big Spenders
12702,19,1,201.0,4,1,1,Potential Loyalists
12703,70,4,898.53,3,3,3,Loyal Customers
12704,6,8,1740.84,5,4,4,Champions
12705,14,13,11114.1,5,5,5,Champions
12707,291,1,603.42,2,1,3,Lost
12708,29,18,4559.66,4,5,5,Champions
12709,14,33,29571.76,5,5,5,Champions
12710,96,3,1023.02,3,3,3,Loyal Customers
12711,611,2,1213.05,1,2,4,At Risk
12712,28,21,5985.03,4,5,5,Champions
12713,0,1,794.55,5,1,3,Potential Loyalists
12714,8,12,12815.71,5,5,5,Champions
12715,105,1,263.36,3,1,1,Potential Loyalists
12716,3,2,963.49,5,2,3,Potential Loyalists
12717,150,3,1058.91,3,3,3,Loyal Customers
12718,70,1,202.25,3,1,1,Potential Loyalists
12719,4,2,572.95,5,2,2,Potential Loyalists
12720,2,29,6905.28,5,5,5,Champions
12721,31,8,3635.08,4,4,5,Champions
12722,84,4,979.63,3,3,3,Loyal Customers
12723,3,5,707.07,5,4,3,Champions
12724,4,7,2083.52,5,4,4,Champions
12725,370,3,1906.76,2,3,4,At Risk
12726,27,11,3690.6,4,5,5,Champions
12727,10,10,4905.53,5,5,5,Champions
12728,70,5,926.17,3,4,3,Loyal Customers
12729,113,1,417.01,3,1,2,Potential Loyalists
12730,521,1,703.25,1,1,3,Lost
12731,23,17,25631.71,4,5,5,Champions
12732,179,1,218.26,3,1,1,Potential Loyalists
12733,233,4,2424.02,2,3,4,At Risk
12734,352,3,603.65,2,3,3,At Risk
12735,314,2,689.57,2,2,3,At Risk
12736,332,1,144.0,2,1,1,Lost
12738,371,1,137.35,2,1,1,Lost
12739,98,2,2421.23,3,2,4,Big Spenders
12740,63,1,427.6,3,1,2,Potential Loyalists
12741,532,1,236.07,1,1,1,Lost
12742,625,1,1201.52,1,1,4,Big Spenders
12743,133,2,540.13,3,2,2,Potential Loyalists
12744,55,8,13158.16,4,4,5,Champions
12745,486,3,925.41,1,3,3,At Risk
12746,540,1,254.55,1,1,1,Lost
12747,1,26,8898.48,5,5,5,Champions
12748,0,323,49564.28,5,5,5,Champions
12749,3,9,6847.36,5,5,5,Champions
12750,128,1,275.88,3,1,1,Potential Loyalists
12751,444,1,268.27,1,1,1,Lost
12752,80,1,4366.78,3,1,5,Big Spenders
12753,22,6,21429.39,4,4,5,Champions
12754,235,3,3010.74,2,3,5,At Risk
12755,280,11,5236.26,2,5,5,At Risk
12756,86,1,112.08,3,1,1,Potential Loyalists
12757,15,9,4176.75,5,5,5,Champions
12758,116,7,9903.24,3,4,5,Big Spenders
12759,51,8,4618.74,4,4,5,Champions
12760,455,1,317.8,1,1,2,Lost
12761,464,1,712.95,1,1,3,Lost
12762,7,2,1702.52,5,2,4,Big Spenders
12763,137,2,494.08,3,2,2,Potential Loyalists
12764,316,1,1693.88,2,1,4,Big Spenders
12765,471,6,1299.58,1,4,4,At Risk
12766,3,9,8134.99,5,5,5,Champions
12767,375,1,949.82,2,1,3,Lost
12768,450,1,168.69,1,1,1,Lost
12769,238,1,1143.6,2,1,3,Lost
12770,210,2,3246.45,2,2,5,At Risk
12771,485,1,226.3,1,1,1,Lost
12772,59,1,752.47,3,1,3,Potential Loyalists
12773,563,1,124.25,1,1,1,Lost
12774,535,1,83.7,1,1,1,Lost
12775,16,7,1551.12,5,4,4,Champions
12776,667,1,27.5,1,1,1,Lost
12777,457,1,519.45,1,1,2,Lost
12778,19,9,1541.68,4,5,4,Champions
12779,37,14,6474.11,4,5,5,Champions
12780,598,1,322.4,1,1,2,Lost
12781,63,2,786.74,3,2,3,Potential Loyalists
12782,4,11,3862.24,5,5,5,Champions
12783,1,4,1295.87,5,3,4,Big Spenders
12784,14,2,1511.15,5,2,4,Big Spenders
12785,363,3,904.4,2,3,3,At Risk
12786,609,1,668.5,1,1,3,Lost
12787,9,4,799.18,5,3,3,Loyal Customers
12788,462,4,384.9,1,3,2,At Risk
12789,64,3,225.35,3,3,1,Loyal Customers
12790,191,2,546.85,2,2,2,At Risk
12791,373,5,656.83,2,4,3,At Risk
12792,256,2,715.01,2,2,3,At Risk
12793,334,3,745.53,2,3,3,At Risk
12794,52,2,860.41,4,2,3,Potential Loyalists
12795,18,1,318.48,5,1,2,Potential Loyalists
12796,627,1,351.0,1,1,2,Lost
12797,365,2,468.08,2,2,2,At Risk
12798,9,4,8510.93,5,3,5,Big Spenders
12799,528,1,219.35,1,1,1,Lost
12800,469,2,500.25,1,2,2,At Risk
12801,500,1,871.82,1,1,3,Lost
12802,186,5,2186.42,3,4,4,Big Spenders
12803,392,1,1017.81,2,1,3,Lost
12804,465,2,325.37,1,2,2,At Risk
12805,381,4,1230.95,2,3,4,At Risk
12806,571,2,2558.96,1,2,4,At Risk
12807,382,1,250.35,2,1,1,Lost
12808,36,5,748.7,4,4,3,Champions
12809,177,3,1384.34,3,3,4,Big Spenders
12810,534,2,534.99,1,2,2,At Risk
12811,261,4,893.9,2,3,3,At Risk
12812,44,1,229.64,4,1,1,Potential Loyalists
12813,501,3,1621.8,1,3,4,At Risk
12814,101,1,85.92,3,1,1,Potential Loyalists
12815,147,2,863.46,3,2,3,Potential Loyalists
12816,95,2,452.2,3,2,2,Potential Loyalists
12817,280,3,570.98,2,3,2,At Risk
12818,261,1,1182.08,2,1,3,Lost
12819,457,1,540.52,1,1,2,Lost
12820,2,11,2689.52,5,5,4,Champions
12821,213,2,220.8,2,2,1,At Risk
12822,70,2,948.88,3,2,3,Potential Loyalists
12823,74,18,6501.5,3,5,5,Big Spenders
12824,59,1,397.12,3,1,2,Potential Loyalists
12825,520,2,518.63,1,2,2,At Risk
12826,2,12,2800.75,5,5,4,Champions
12827,5,3,430.15,5,3,2,Loyal Customers
12828,2,6,1018.71,5,4,3,Champions
12829,336,3,385.3,2,3,2,At Risk
12830,37,6,6814.64,4,4,5,Champions
12831,261,3,451.11,2,3,2,At Risk
12832,31,2,383.03,4,2,2,Potential Loyalists
12833,144,1,417.38,3,1,2,Potential Loyalists
12834,282,1,312.38,2,1,2,Lost
12835,427,41,5996.83,1,5,5,At Risk
12836,58,15,6559.73,4,5,5,Champions
12837,172,2,662.66,3,2,3,Potential Loyalists
12838,33,10,2975.91,4,5,5,Champions
12839,2,26,9669.12,5,5,5,Champions
12840,143,7,4041.97,3,4,5,Big Spenders
12841,4,40,6958.2,5,5,5,Champions
12842,69,4,1917.99,3,3,4,Big Spenders
12843,65,28,6461.87,3,5,5,Big Spenders
12844,28,4,648.6,4,3,3,Loyal Customers
12845,266,4,354.09,2,3,2,At Risk
12846,681,1,15.58,1,1,1,Lost
12847,21,2,1609.0,4,2,4,Big Spenders
12848,675,1,208.0,1,1,1,Lost
12849,30,6,3015.98,4,4,5,Champions
12850,445,1,330.0,1,1,2,Lost
12851,96,2,280.76,3,2,1,Potential Loyalists
12852,294,1,311.55,2,1,2,Lost
12853,134,11,3907.5,3,5,5,Big Spenders
12854,78,7,2970.97,3,4,5,Big Spenders
12855,372,4,612.84,2,3,3,At Risk
12856,7,6,2170.78,5,4,4,Champions
12857,210,6,3688.0,2,4,5,At Risk
12858,382,1,147.27,2,1,1,Lost
12859,458,1,575.1,1,1,2,Lost
12860,692,1,54.22,1,1,1,Lost
12861,619,1,68.25,1,1,1,Lost
12862,425,2,984.62,1,2,3,At Risk
12863,51,6,2792.55,4,4,4,Champions
12864,137,2,299.57,3,2,2,Potential Loyalists
12865,25,4,3323.47,4,3,5,Big Spenders
12866,282,3,1092.35,2,3,3,At Risk
12867,25,13,7829.26,4,5,5,Champions
12868,185,8,2043.76,3,4,4,Big Spenders
12869,681,1,337.67,1,1,2,Lost
12870,374,3,1676.95,2,3,4,At Risk
12871,83,3,744.02,3,3,3,Loyal Customers
12872,326,12,3283.96,2,5,5,At Risk
12873,281,3,2027.3,2,3,4,At Risk
12874,384,2,873.42,2,2,3,At Risk
12875,142,5,1356.99,3,4,4,Big Spenders
12876,57,4,3751.79,4,3,5,Big Spenders
12877,3,20,2942.14,5,5,5,Champions
12878,235,2,854.99,2,2,3,At Risk
12879,44,3,573.22,4,3,2,Loyal Customers
12880,381,2,640.13,2,2,3,At Risk
12881,275,1,298.0,2,1,2,Lost
12882,8,2,1463.04,5,2,4,Big Spenders
12883,24,4,703.47,4,3,3,Loyal Customers
12884,87,1,309.05,3,1,2,Potential Loyalists
12885,62,3,1175.22,3,3,3,Loyal Customers
12886,67,2,1378.4,3,2,4,Big Spenders
12887,383,1,222.4,2,1,1,Lost
12888,213,2,354.12,2,2,2,At Risk
12889,380,4,385.46,2,3,2,At Risk
12890,23,2,706.02,4,2,3,Potential Loyalists
12891,185,11,840.5,3,5,3,Loyal Customers
12892,396,1,263.38,2,1,1,Lost
12893,30,1,176.55,4,1,1,Potential Loyalists
12894,574,1,157.35,1,1,1,Lost
12895,41,2,372.8,4,2,2,Potential Loyalists
12897,204,4,514.25,2,3,2,At Risk
12898,463,2,296.21,1,2,2,At Risk
12899,413,1,366.4,1,1,2,Lost
12900,421,1,340.33,1,1,2,Lost
12901,8,28,17654.54,5,5,5,Champions
12902,264,1,138.68,2,1,1,Lost
12903,428,1,833.53,1,1,3,Lost
12904,17,2,496.06,5,2,2,Potential Loyalists
12905,576,2,1018.42,1,2,3,At Risk
12906,11,5,2919.81,5,4,5,Champions
12907,395,2,508.91,2,2,2,At Risk
12908,175,5,1776.0,3,4,4,Big Spenders
12909,39,8,3103.19,4,4,5,Champions
12910,22,13,5796.52,4,5,5,Champions
12911,551,1,1651.72,1,1,4,Big Spenders
12912,2,5,1662.3,5,4,4,Champions
12913,4,13,6283.24,5,5,5,Champions
12914,400,1,223.98,2,1,1,Lost
12915,148,4,975.1,3,3,3,Loyal Customers
12916,138,7,4479.73,3,4,5,Big Spenders
12917,127,6,4359.2,3,4,5,Big Spenders
12919,7,6,1335.19,5,4,4,Champions
12920,16,4,486.64,5,3,2,Loyal Customers
12921,8,74,35233.24,5,5,5,Champions
12922,160,1,405.38,3,1,2,Potential Loyalists
12923,63,3,769.17,3,3,3,Loyal Customers
12924,87,12,2461.45,3,5,4,Big Spenders
12925,4,3,729.33,5,3,3,Loyal Customers
12926,410,4,1523.59,1,3,4,At Risk
12927,394,1,197.31,2,1,1,Lost
12928,34,12,4304.89,4,5,5,Champions
12929,311,1,117.85,2,1,1,Lost
12930,77,2,415.8,3,2,2,Potential Loyalists
12931,21,57,92347.34,4,5,5,Champions
12932,538,8,1698.56,1,4,4,At Risk
12933,23,8,1636.63,4,4,4,Champions
12934,736,1,181.65,1,1,1,Lost
12935,1,15,4243.86,5,5,5,Champions
12936,16,4,1063.9,5,3,3,Loyal Customers
12937,14,9,3097.61,5,5,5,Champions
12938,25,1,114.14,4,1,1,Potential Loyalists
12939,63,20,25264.8,3,5,5,Big Spenders
12940,54,2,899.69,4,2,3,Potential Loyalists
12941,723,1,377.49,1,1,2,Lost
12942,130,3,675.6,3,3,3,Loyal Customers
12943,557,2,496.5,1,2,2,At Risk
12944,35,2,604.51,4,2,3,Potential Loyalists
12945,287,2,900.11,2,2,3,At Risk
12946,436,1,324.45,1,1,2,Lost
12947,143,6,1603.99,3,4,4,Big Spenders
12948,15,9,2317.43,5,5,4,Champions
